	Unnamed: 0	Bakery	Mexican	Chinese	Asian
0	0	Insomnia Cookies (215 S Washington St)	DON PIBIL GRILL	Cafe 88	Cafe 88
1	1	Panera (113 West Hall of Fame Avenue )	Chipotle Mexican Grill (415 E Hall Of Fame Ave)	Panda Express (2080 North Perkins Rd.)	Himalayan kitchen
2	2	Schlotzsky's Deli (N Perkins Rd)	Taco Bueno (Stillwater #1)		Panda Express (2080 North Perkins Rd.)
3	3		Nanas Mexican Kitchen		
4	4		Palominos Mexican Restaurant		
5	5				
6	6				
7	7				
8	8				
9	9				
10	10				
11	11				
12	12				
13	13				
14	14				
15	15				
16	16				
17	17				
18	18				
19	19				
