	American	Fast Food	Bakery	Coffee and Tea	Mexican	Chinese	Asian	Healthy	Sandwich	Comfort Food	Wings	BBQ	Greek	Pizza
0	Five Guys OK-1845 611 N. Perkins Road, Ste	Golden Chick (116 E McElroy Rd)	Insomnia Cookies (215 S Washington St)	Himalayan kitchen	DON PIBIL GRILL	Cafe 88	Cafe 88	McAlister's Deli - 711 - Stillwater OK (1109)	Jersey Mike's Subs (1717 N Perkins Rd)	Chili's Grill & Bar (310 E. Hall of Fame Ave.)	Wingstop (312 N. Perkins Rd)	Rib Crib BBQ & Grill (103 South Perkins Road)		
1	Rib Crib BBQ & Grill (103 South Perkins Road)	Burger King (107 North Perkins Road)	Panera (113 West Hall of Fame Avenue )	McAlister's Deli - 711 - Stillwater OK (1109)	Chipotle Mexican Grill (415 E Hall Of Fame Ave)	Panda Express (2080 North Perkins Rd.)	Himalayan kitchen	Chipotle Mexican Grill (415 E Hall Of Fame Ave)	McAlister's Deli - 711 - Stillwater OK (1109)	Rib Crib BBQ & Grill (103 South Perkins Road)	It's Just Wings (310 E. Hall of Fame Ave.)	Panera (113 West Hall of Fame Avenue )		
2	Chili's Grill & Bar (310 E. Hall of Fame Ave.)	Arby's (1126)	Schlotzsky's Deli (N Perkins Rd)	Panera (113 West Hall of Fame Avenue )	Taco Bueno (Stillwater #1)		Panda Express (2080 North Perkins Rd.)	Tropical Smoothie Cafe - Stillwater	Panera (113 West Hall of Fame Avenue )	Panera (113 West Hall of Fame Avenue )	Rib Crib BBQ & Grill (103 South Perkins Road)	Cafe 88		
3	DON PIBIL GRILL	Chili's Grill & Bar (310 E. Hall of Fame Ave.)		Schlotzsky's Deli (N Perkins Rd)	Nanas Mexican Kitchen			Chili's Grill & Bar (310 E. Hall of Fame Ave.)	Schlotzsky's Deli (N Perkins Rd)	Golden Chick (116 E McElroy Rd)	Golden Chick (116 E McElroy Rd)	Chili's Grill & Bar (310 E. Hall of Fame Ave.)		
4	Red Lobster (102 E Hall of Fame Ave)	Taco Bueno (Stillwater #1)		Cafe 88	Palominos Mexican Restaurant			Panera (113 West Hall of Fame Avenue )	Five Guys OK-1845 611 N. Perkins Road, Ste	Burger King (107 North Perkins Road)	Papa Johns (925 N Boomer Rd)	Arby's (1126)		
5	Golden Chick (116 E McElroy Rd)	Tropical Smoothie Cafe - Stillwater		Red Lobster (102 E Hall of Fame Ave)					DON PIBIL GRILL	Tropical Smoothie Cafe - Stillwater	Chili's Grill & Bar (310 E. Hall of Fame Ave.)	Tropical Smoothie Cafe - Stillwater		
6	Maggiano's Italian Classics (310 E. Hall of Fame Ave.)	Panda Express (2080 North Perkins Rd.)		Rib Crib BBQ & Grill (103 South Perkins Road)					Chili's Grill & Bar (310 E. Hall of Fame Ave.)	Arby's (1126)		It's Just Wings (310 E. Hall of Fame Ave.)		
7	Panera (113 West Hall of Fame Avenue )			Burger King (107 North Perkins Road)					Golden Chick (116 E McElroy Rd)	Taco Bueno (Stillwater #1)		Burger King (107 North Perkins Road)		
8	Burger King (107 North Perkins Road)			Chili's Grill & Bar (310 E. Hall of Fame Ave.)					Red Lobster (102 E Hall of Fame Ave)	Granny's Kitchen (Stillwater)		Schlotzsky's Deli (N Perkins Rd)		
9	It's Just Wings (310 E. Hall of Fame Ave.)			Golden Chick (116 E McElroy Rd)					Tropical Smoothie Cafe - Stillwater	Panda Express (2080 North Perkins Rd.)		Papa Johns (925 N Boomer Rd)		
10	Jersey Mike's Subs (1717 N Perkins Rd)			Five Guys OK-1845 611 N. Perkins Road, Ste					Wingstop (312 N. Perkins Rd)			Granny's Kitchen (Stillwater)		
11	Arby's (1126)			Chipotle Mexican Grill (415 E Hall Of Fame Ave)					Papa Johns (925 N Boomer Rd)			Cherokee Strip BBQ (235 S Perkins Rd)		
12	Granny's Kitchen (Stillwater)			Arby's (1126)					Arby's (1126)					
13	Nanas Mexican Kitchen			Taco Bueno (Stillwater #1)					Rib Crib BBQ & Grill (103 South Perkins Road)					
14	Cherokee Strip BBQ (235 S Perkins Rd)			Granny's Kitchen (Stillwater)					Burger King (107 North Perkins Road)					
15	Old School Bagel Cafe (Stillwater)			Marble Slab Creamery (229 S Knoblock St)					Granny's Kitchen (Stillwater)					
16	Palominos Mexican Restaurant			Cherokee Strip BBQ (235 S Perkins Rd)					Cherokee Strip BBQ (235 S Perkins Rd)					
17				Old School Bagel Cafe (Stillwater)					Old School Bagel Cafe (Stillwater)					
18				Palominos Mexican Restaurant										
19				Panda Express (2080 North Perkins Rd.)										
