	American	Fast Food	Bakery	Coffee and Tea	Mexican	Chinese	Asian	Healthy	Sandwich	Comfort Food	Wings	BBQ	Greek	Pizza
0	4.0	4.4	4.9	4.0	4.6	4.4	4.4	4.7	4.9	4.0	4.7	4.0		
1	4.0	4.3	4.7	4.7	4.7	4.6	4.7	4.6	4.7	4.0	4.4	4.0		
2	4.3	4.4		4.9	3.8		4.6	4.5	4.9	4.4	4.5	4.1		
3	4.4	4.0		4.0				4.0	4.0	4.5	4.0	4.5		
4	4.3	4.1		4.3					4.5	4.3	4.8	4.3		
5	4.7	4.5		4.4					4.0	4.1	4.6	4.9		
6	4.1			4.6					4.4	4.4		4.7		
7	4.9			4.1					4.5	4.8		4.5		
8	4.8			4.4					4.1			4.6		
9	4.1			4.7					4.3			4.8		
10	4.6			4.6					4.8					
11	4.7			4.8					4.1					
12	3.8			4.1					4.6					
13				4.6					4.6					
14				3.8					4.7					
